875;1;7,8;11,57;190,99;103,39;7,8;8
875;0;7,8;5,94;199,56;103,39;7,8;8
8747;0;7,6;14,01;68,81;31,34;7,4;7,8
8739;1;7,6;1,04;63,28;52,71;7,6;7,8
8734;1;7,6;1,04;62,24;52,71;7,6;7,8
87;0;7,2;12,64;419,59;447,19;7;7,2
864;1;7,8;3;241,33;121,62;7,8;8
8611;1;7,6;2;63,39;52,71;7,6;7,8
859;1;7,8;5;260,73;125,62;7,8;8
8591;1;7,6;1,78;61,6;52,71;7,6;7,8
8583;1;7,6;,7;60,9;52,71;7,6;7,8
85;1;7;24,27;431,51;487;7;7,2
85;0;7,2;5,03;431,51;463,02;7;7,2
8452;1;7,6;5;58,16;52,71;7,6;7,8
8443;0;7,8;5;58,16;47,71;7,6;7,8
8438;1;7,6;4,81;88,51;48,08;7,4;7,8
84;1;7;7,5;443,41;486,7;7;7,2
841;1;7,8;3;241,38;126,68;7,8;8
840;1;7,8;5,38;236;126,68;7,8;8
8381;1;7,4;2;82,34;51,08;7,4;7,6
837;0;8;,12;240,63;126,56;7,8;8
83;1;7;132,05;428,5;503,71;6,8;7,2
83;0;7;10,54;455,78;442;6,8;7
8280;0;7,6;16,75;92,87;41,14;7,4;7,6
8276;1;7,4;,44;92,43;42,87;7,4;7,6
826;0;8;8,71;252,94;103,54;7,8;8
825;0;8;14,93;200,96;121,82;8;8,2
82;1;7;53,29;461,12;517,8;7;7,2
82;0;7;76,1;481,12;569,84;7;7,2
820;1;8;,5;259,65;142,37;8;8,2
8191;1;7,4;,44;84,55;45,08;7,4;7,6
818;1;8;7;258,65;142,37;8;8,2
8;1;7,4;,58;936,41;435,8;7,4;7,6
816;1;8;5,59;253,06;142,37;8;8,2
815;0;8,2;,49;261,69;159,73;8;8,2
81;1;7;15,04;558,65;386,19;7;7,2
81;0;7,2;13,75;598,96;504,05;7;7,2
809;1;8;5;248,31;159,73;8;8,2
8088;1;7,4;,44;88,55;45,08;7,4;7,6
808;0;8,2;4,69;247,32;151,74;8;8,2
8;0;7,6;,02;936,41;440,78;7,4;7,6
807;1;8;6,01;241,31;118,88;8;8,2
8040;1;7,4;,44;92,6;45,08;7,4;7,6
80;1;7,07;200,39;228,14;316,03;7;7,4
80;0;7,2;125,97;352,06;316,03;7;7,4
7993;1;7,4;,44;92,16;41,08;7,4;7,6
7988;1;7,4;6,9;85,25;41,08;7,4;7,6
79;1;7,01;101,39;334,24;276,41;6,8;7,2
7865;0;7,6;5,71;67,89;41,5;7,6;7,8
7860;1;7,6;,86;73,9;46,28;7,6;7,8
785;1;8;4,5;268,65;140,39;8;8,2
782;0;8,2;,49;268,65;139,89;8;8,2
78;1;6,8;13;465,75;449,4;6,8;7
781;1;8;2;266,66;139,89;8;8,2
78;0;7;30;459,38;405,95;6,8;7
7755;1;7,6;2;71,52;46,28;7,6;7,8
774;0;8,2;5;276,66;134,89;8;8,2
773;0;8,2;8;276,66;126,9;8;8,2
7728;1;7,6;,85;70,67;65,95;7,6;7,8
